;DATE;WEEK_DAY;MONTH;TIME;ASS_ASSIGNMENT;ASS_ID;CSPL_RECEIVED_CALLS;CSPL_CALLS
35;(0, 1, 1, 1, 2011);6;1;0;Téléphonie;35;0;0
70;(30, 1, 1, 1, 2011);6;1;30;Téléphonie;35;1;1
105;(60, 1, 1, 1, 2011);6;1;60;Téléphonie;35;0;0
140;(90, 1, 1, 1, 2011);6;1;90;Téléphonie;35;0;0
176;(120, 1, 1, 1, 2011);6;1;120;Téléphonie;35;0;0
212;(150, 1, 1, 1, 2011);6;1;150;Téléphonie;35;0;0
248;(180, 1, 1, 1, 2011);6;1;180;Téléphonie;35;0;0
284;(210, 1, 1, 1, 2011);6;1;210;Téléphonie;35;0;0
320;(240, 1, 1, 1, 2011);6;1;240;Téléphonie;35;0;0
356;(270, 1, 1, 1, 2011);6;1;270;Téléphonie;35;0;0
393;(300, 1, 1, 1, 2011);6;1;300;Téléphonie;35;2;2
430;(330, 1, 1, 1, 2011);6;1;330;Téléphonie;35;0;0
466;(360, 1, 1, 1, 2011);6;1;360;Téléphonie;35;0;0
502;(390, 1, 1, 1, 2011);6;1;390;Téléphonie;35;1;1
540;(420, 1, 1, 1, 2011);6;1;420;Téléphonie;35;0;0
578;(450, 1, 1, 1, 2011);6;1;450;Téléphonie;35;0;0
617;(480, 1, 1, 1, 2011);6;1;480;Téléphonie;35;1;1
656;(510, 1, 1, 1, 2011);6;1;510;Téléphonie;35;1;1
696;(540, 1, 1, 1, 2011);6;1;540;Téléphonie;35;1;1
736;(570, 1, 1, 1, 2011);6;1;570;Téléphonie;35;1;1
777;(600, 1, 1, 1, 2011);6;1;600;Téléphonie;35;0;0
818;(630, 1, 1, 1, 2011);6;1;630;Téléphonie;35;2;2
859;(660, 1, 1, 1, 2011);6;1;660;Téléphonie;35;2;2
899;(690, 1, 1, 1, 2011);6;1;690;Téléphonie;35;2;2
939;(720, 1, 1, 1, 2011);6;1;720;Téléphonie;35;2;2
979;(750, 1, 1, 1, 2011);6;1;750;Téléphonie;35;4;4
1019;(780, 1, 1, 1, 2011);6;1;780;Téléphonie;35;1;1
1059;(810, 1, 1, 1, 2011);6;1;810;Téléphonie;35;4;4
1099;(840, 1, 1, 1, 2011);6;1;840;Téléphonie;35;2;2
1139;(870, 1, 1, 1, 2011);6;1;870;Téléphonie;35;2;2
1179;(900, 1, 1, 1, 2011);6;1;900;Téléphonie;35;1;1
1219;(930, 1, 1, 1, 2011);6;1;930;Téléphonie;35;3;3
1259;(960, 1, 1, 1, 2011);6;1;960;Téléphonie;35;3;3
1298;(990, 1, 1, 1, 2011);6;1;990;Téléphonie;35;3;3
1337;(1020, 1, 1, 1, 2011);6;1;1020;Téléphonie;35;2;2
1375;(1050, 1, 1, 1, 2011);6;1;1050;Téléphonie;35;2;2
1412;(1080, 1, 1, 1, 2011);6;1;1080;Téléphonie;35;2;2
1449;(1110, 1, 1, 1, 2011);6;1;1110;Téléphonie;35;2;2
1486;(1140, 1, 1, 1, 2011);6;1;1140;Téléphonie;35;3;3
1523;(1170, 1, 1, 1, 2011);6;1;1170;Téléphonie;35;3;3
1560;(1200, 1, 1, 1, 2011);6;1;1200;Téléphonie;35;4;4
1597;(1230, 1, 1, 1, 2011);6;1;1230;Téléphonie;35;3;3
1634;(1260, 1, 1, 1, 2011);6;1;1260;Téléphonie;35;2;2
1670;(1290, 1, 1, 1, 2011);6;1;1290;Téléphonie;35;1;1
1706;(1320, 1, 1, 1, 2011);6;1;1320;Téléphonie;35;1;1
1740;(1350, 1, 1, 1, 2011);6;1;1350;Téléphonie;35;1;1
1772;(1380, 1, 1, 1, 2011);6;1;1380;Téléphonie;35;0;0
